ImportId,qname,qname_main,main,field_no,field_name,q_text,q_code,option1,q_type,q_selector
startDate,StartDate,StartDate,Start Date,NA,NA,NA,NA,NA,NA,NA
endDate,EndDate,EndDate,End Date,NA,NA,NA,NA,NA,NA,NA
status,Status,Status,Response Type,NA,NA,NA,NA,NA,NA,NA
ipAddress,IPAddress,IPAddress,IP Address,NA,NA,NA,NA,NA,NA,NA
progress,Progress,Progress,Progress,NA,NA,NA,NA,NA,NA,NA
duration,Duration (in seconds),Duration (in seconds),Duration (in seconds),NA,NA,NA,NA,NA,NA,NA
finished,Finished,Finished,Finished,NA,NA,NA,NA,NA,NA,NA
recordedDate,RecordedDate,RecordedDate,Recorded Date,NA,NA,NA,NA,NA,NA,NA
,ResponseId,ResponseId,Response ID,NA,NA,NA,NA,NA,NA,NA
recipientLastName,RecipientLastName,RecipientLastName,Recipient Last Name,NA,NA,NA,NA,NA,NA,NA
recipientFirstName,RecipientFirstName,RecipientFirstName,Recipient First Name,NA,NA,NA,NA,NA,NA,NA
recipientEmail,RecipientEmail,RecipientEmail,Recipient Email,NA,NA,NA,NA,NA,NA,NA
externalDataReference,ExternalReference,ExternalReference,External Data Reference,NA,NA,NA,NA,NA,NA,NA
locationLatitude,LocationLatitude,LocationLatitude,Location Latitude,NA,NA,NA,NA,NA,NA,NA
locationLongitude,LocationLongitude,LocationLongitude,Location Longitude,NA,NA,NA,NA,NA,NA,NA
distributionChannel,DistributionChannel,DistributionChannel,Distribution Channel,NA,NA,NA,NA,NA,NA,NA
userLanguage,UserLanguage,UserLanguage,User Language,NA,NA,NA,NA,NA,NA,NA
QID3,Informed Consent,Informed Consent,Protocol Title: “Using collaborative open science tools to improve engagement with the ecology of the Guana River Estuary”,NA,NA,I agree,1,NA,MC,SAVR
QID3,Informed Consent,Informed Consent,Protocol Title: “Using collaborative open science tools to improve engagement with the ecology of the Guana River Estuary”,NA,NA,I do not agree,2,NA,MC,SAVR
QID6,D-1_1,D-1,How are you connected to the Guana Estuary? (check all that apply),NA,NA,"Recreational (fishing, boating, hiking, birding, etc.)",1,NA,MC,MAVR
