ID,source,qname,field_no,qname_main,q_code,text_answer,main,field_name,q_text
17,email,YD-1_8_TEXT,NA,YD-1,8,Lidar,"What Guana Estuary data do you currently use, or have you used in the past? (check all that apply)",NA,Other (please specify)
24,email,1_YD-2_2_TEXT,1,YD-2,2,johnson county weather stations,How do you most frequently obtain or access Guana Estuary data on [Field-1]?,Weather information,"Download from website (If so, what website?)"
44,email,1_YD-2_2_TEXT,1,YD-2,2,weather.com,How do you most frequently obtain or access Guana Estuary data on [Field-1]?,Weather information,"Download from website (If so, what website?)"
4,email,1_YD-2_2_TEXT,1,YD-2,2,Research Reserve Website,How do you most frequently obtain or access Guana Estuary data on [Field-1]?,Weather information,"Download from website (If so, what website?)"
56,email,1_YD-2_2_TEXT,1,YD-2,2,https://cdmo.baruch.sc.edu//,How do you most frequently obtain or access Guana Estuary data on [Field-1]?,Weather information,"Download from website (If so, what website?)"
23,email,1_YD-2_2_TEXT,1,YD-2,2,CDMO,How do you most frequently obtain or access Guana Estuary data on [Field-1]?,Weather information,"Download from website (If so, what website?)"
51,email,1_YD-2_2_TEXT,1,YD-2,2,https://www.weather.gov/jax/fire,How do you most frequently obtain or access Guana Estuary data on [Field-1]?,Weather information,"Download from website (If so, what website?)"
13,email,1_YD-2_2_TEXT,1,YD-2,2,weather.gov,How do you most frequently obtain or access Guana Estuary data on [Field-1]?,Weather information,"Download from website (If so, what website?)"
10,email,1_YD-2_2_TEXT,1,YD-2,2,https://gtmnerr.org/research/weather-and-water-quality/,How do you most frequently obtain or access Guana Estuary data on [Field-1]?,Weather information,"Download from website (If so, what website?)"
31,socialmedia,1_YD-2_2_TEXT,1,YD-2,2,Weather Channel App,How do you most frequently obtain or access Guana Estuary data on [Field-1]?,Weather information,Download from website (If so what website?)
43,email,1_YD-2_2_TEXT,1,YD-2,2,Google,How do you most frequently obtain or access Guana Estuary data on [Field-1]?,Weather information,Download from website (If so what website?)
14,email,1_YD-2_2_TEXT,1,YD-2,2,SWMP CDMO or email,How do you most frequently obtain or access Guana Estuary data on [Field-1]?,Weather information,Download from website (If so what website?)
24,email,2_YD-2_2_TEXT,2,YD-2,2,swmp,How do you most frequently obtain or access Guana Estuary data on [Field-1]?,Water quality information (including nutrients and algae),"Download from website (If so, what website?)"
11,email,2_YD-2_2_TEXT,2,YD-2,2,GTMNERR.org,How do you most frequently obtain or access Guana Estuary data on [Field-1]?,Water quality information (including nutrients and algae),"Download from website (If so, what website?)"
56,email,2_YD-2_2_TEXT,2,YD-2,2,https://cdmo.baruch.sc.edu//,How do you most frequently obtain or access Guana Estuary data on [Field-1]?,Water quality information (including nutrients and algae),"Download from website (If so, what website?)"
23,email,2_YD-2_2_TEXT,2,YD-2,2,CDMO,How do you most frequently obtain or access Guana Estuary data on [Field-1]?,Water quality information (including nutrients and algae),"Download from website (If so, what website?)"
43,email,2_YD-2_2_TEXT,2,YD-2,2,UF IFAS and FL DEP,How do you most frequently obtain or access Guana Estuary data on [Field-1]?,Water quality information (including nutrients and algae),"Download from website (If so, what website?)"
10,email,2_YD-2_2_TEXT,2,YD-2,2,https://www.st.nmfs.noaa.gov/copepod/time-series/us-60109-001/,How do you most frequently obtain or access Guana Estuary data on [Field-1]?,Water quality information (including nutrients and algae),"Download from website (If so, what website?)"
19,socialmedia,2_YD-2_4_TEXT,2,YD-2,4,get from GTM files (I am an employee),How do you most frequently obtain or access Guana Estuary data on [Field-1]?,Water quality information (including nutrients and algae),Other (please specify)
49,email,2_YD-2_2_TEXT,2,YD-2,2,View on website (no download),How do you most frequently obtain or access Guana Estuary data on [Field-1]?,Water quality information (including nutrients and algae),Download from website (If so what website?)
16,email,2_YD-2_4_TEXT,2,YD-2,4,Attending state of the reserve presentations.,How do you most frequently obtain or access Guana Estuary data on [Field-1]?,Water quality information (including nutrients and algae),Other (please specify)
21,email,2_YD-2_4_TEXT,2,YD-2,4,FWC data,How do you most frequently obtain or access Guana Estuary data on [Field-1]?,Water quality information (including nutrients and algae),Other (please specify)
51,email,2_YD-2_4_TEXT,2,YD-2,4,Spot monitoring of salinity each week,How do you most frequently obtain or access Guana Estuary data on [Field-1]?,Water quality information (including nutrients and algae),Other (please specify)
14,email,2_YD-2_2_TEXT,2,YD-2,2,SWMP CDMO or email,How do you most frequently obtain or access Guana Estuary data on [Field-1]?,Water quality information (including nutrients and algae),Download from website (If so what website?)
