ID,source,qname,qname_main,main,q_code,q_text,order
19,socialmedia,D-1_1,D-1,How are you connected to the Guana Estuary? (check all that apply),1,"Recreational (fishing, boating, hiking, birding, etc.)",NA
19,socialmedia,D-1_2,D-1,How are you connected to the Guana Estuary? (check all that apply),2,"Educational (I use the Guana Estuary for educational workshops, field trips, classroom activities, etc.)",NA
19,socialmedia,D-1_3,D-1,How are you connected to the Guana Estuary? (check all that apply),3,Scientific (I collect/use data about the Guana Estuary),NA
19,socialmedia,D-2,D-2,"How often do you engage with the Guana Estuary, on average?",1,Daily,NA
19,socialmedia,D-3_2,D-3,"Regardless of whether you can currently access data, what kind of information would or are you generally interested in from the area?



Pick only those that apply, and please rank your selection in order of interest: 1 = most interested in.",2,Water quality information (including nutrients and algae),1
19,socialmedia,D-3_3,D-3,"Regardless of whether you can currently access data, what kind of information would or are you generally interested in from the area?



Pick only those that apply, and please rank your selection in order of interest: 1 = most interested in.",3,"Water level information (tides, Guana lake, river)",3
19,socialmedia,D-3_5,D-3,"Regardless of whether you can currently access data, what kind of information would or are you generally interested in from the area?



Pick only those that apply, and please rank your selection in order of interest: 1 = most interested in.",5,Information on vegetation (salt marsh or uplands),4
19,socialmedia,D-3_6,D-3,"Regardless of whether you can currently access data, what kind of information would or are you generally interested in from the area?



Pick only those that apply, and please rank your selection in order of interest: 1 = most interested in.",6,"Information on fish, shellfish or other aquatic organisms",2
19,socialmedia,D-4,D-4,"Have you ever accessed data* about the Guana Estuary?



*by ""data"", we mean ""information, especially facts or numbers, collected to be examined and considered and used to help decision-making; or information in an electronic form that can be stored and used by a computer"" for instance spreadsheets, databases, graphs, and maps.",1,Yes,NA
31,socialmedia,D-1_6,D-1,How are you connected to the Guana Estuary? (check all that apply),6,Work-related (Not research or education),NA
31,socialmedia,D-2,D-2,"How often do you engage with the Guana Estuary, on average?",1,Daily,NA
31,socialmedia,D-3_1,D-3,"Regardless of whether you can currently access data, what kind of information would or are you generally interested in from the area?



Pick only those that apply, and please rank your selection in order of interest: 1 = most interested in.",1,Weather information,1
31,socialmedia,D-3_2,D-3,"Regardless of whether you can currently access data, what kind of information would or are you generally interested in from the area?



Pick only those that apply, and please rank your selection in order of interest: 1 = most interested in.",2,Water quality information (including nutrients and algae),2
31,socialmedia,D-3_3,D-3,"Regardless of whether you can currently access data, what kind of information would or are you generally interested in from the area?



Pick only those that apply, and please rank your selection in order of interest: 1 = most interested in.",3,"Water level information (tides, Guana lake, river)",6
31,socialmedia,D-3_4,D-3,"Regardless of whether you can currently access data, what kind of information would or are you generally interested in from the area?



Pick only those that apply, and please rank your selection in order of interest: 1 = most interested in.",4,Reserve or trail closures,7
31,socialmedia,D-3_5,D-3,"Regardless of whether you can currently access data, what kind of information would or are you generally interested in from the area?



Pick only those that apply, and please rank your selection in order of interest: 1 = most interested in.",5,Information on vegetation (salt marsh or uplands),3
31,socialmedia,D-3_6,D-3,"Regardless of whether you can currently access data, what kind of information would or are you generally interested in from the area?



Pick only those that apply, and please rank your selection in order of interest: 1 = most interested in.",6,"Information on fish, shellfish or other aquatic organisms",4
31,socialmedia,D-3_7,D-3,"Regardless of whether you can currently access data, what kind of information would or are you generally interested in from the area?



Pick only those that apply, and please rank your selection in order of interest: 1 = most interested in.",7,Information on terrestrial animals,5
31,socialmedia,D-4,D-4,"Have you ever accessed data* about the Guana Estuary?



*by ""data"", we mean ""information, especially facts or numbers, collected to be examined and considered and used to help decision-making; or information in an electronic form that can be stored and used by a computer"" for instance spreadsheets, databases, graphs, and maps.",1,Yes,NA
28,email,D-1_1,D-1,How are you connected to the Guana Estuary? (check all that apply),1,"Recreational (fishing, boating, hiking, birding, etc.)",NA
28,email,D-1_4,D-1,How are you connected to the Guana Estuary? (check all that apply),4,GTMNERR volunteer,NA
28,email,D-1_7,D-1,How are you connected to the Guana Estuary? (check all that apply),7,"“Friends of GTM"" member",NA
28,email,D-2,D-2,"How often do you engage with the Guana Estuary, on average?",3,2-3 times a month,NA
28,email,D-3_5,D-3,"Regardless of whether you can currently access data, what kind of information would or are you generally interested in from the area?



Pick only those that apply, and please rank your selection in order of interest: 1 = most interested in.",5,Information on vegetation (salt marsh or uplands),1
28,email,D-3_6,D-3,"Regardless of whether you can currently access data, what kind of information would or are you generally interested in from the area?



Pick only those that apply, and please rank your selection in order of interest: 1 = most interested in.",6,"Information on fish, shellfish or other aquatic organisms",3
28,email,D-3_7,D-3,"Regardless of whether you can currently access data, what kind of information would or are you generally interested in from the area?



Pick only those that apply, and please rank your selection in order of interest: 1 = most interested in.",7,Information on terrestrial animals,2
28,email,D-4,D-4,"Have you ever accessed data* about the Guana Estuary?



*by ""data"", we mean ""information, especially facts or numbers, collected to be examined and considered and used to help decision-making; or information in an electronic form that can be stored and used by a computer"" for instance spreadsheets, databases, graphs, and maps.",1,Yes,NA
2,email,D-1_1,D-1,How are you connected to the Guana Estuary? (check all that apply),1,"Recreational (fishing, boating, hiking, birding, etc.)",NA
2,email,D-1_3,D-1,How are you connected to the Guana Estuary? (check all that apply),3,Scientific (I collect/use data about the Guana Estuary),NA
2,email,D-1_6,D-1,How are you connected to the Guana Estuary? (check all that apply),6,Work-related (Not research or education),NA
2,email,D-1_4,D-1,How are you connected to the Guana Estuary? (check all that apply),4,GTMNERR volunteer,NA
2,email,D-2,D-2,"How often do you engage with the Guana Estuary, on average?",4,Once a month,NA
2,email,D-3_2,D-3,"Regardless of whether you can currently access data, what kind of information would or are you generally interested in from the area?



Pick only those that apply, and please rank your selection in order of interest: 1 = most interested in.",2,Water quality information (including nutrients and algae),5
2,email,D-3_4,D-3,"Regardless of whether you can currently access data, what kind of information would or are you generally interested in from the area?



Pick only those that apply, and please rank your selection in order of interest: 1 = most interested in.",4,Reserve or trail closures,1
2,email,D-3_5,D-3,"Regardless of whether you can currently access data, what kind of information would or are you generally interested in from the area?



Pick only those that apply, and please rank your selection in order of interest: 1 = most interested in.",5,Information on vegetation (salt marsh or uplands),2
