ID,source,qname,qname_main,main,q_code,q_text,order
19,socialmedia,TR-0,TR-0,"Are you part of the stakeholder group that was invited to participate in the project kick-off meetings in November and December 2022 (If you are unsure, click ""No"". If you were invited but could not make it, click ""Yes"").",1,Yes,NA
19,socialmedia,TR-1,TR-1,How much do you trust the UF project team to build a dashboard that meets your needs?,4,Very much,NA
19,socialmedia,TR-2,TR-2,To what extent do you believe that the abilities and technical expertise of the UF project team make them capable of building a dashboard that meets your needs?,4,Very capable,NA
19,socialmedia,TR-3_1,TR-3,NA,1,NA,NA
19,socialmedia,TR-3_2,TR-3,NA,2,NA,NA
19,socialmedia,TR-3_3,TR-3,NA,3,NA,NA
19,socialmedia,TR-3_4,TR-3,NA,4,NA,NA
19,socialmedia,TR-3_5,TR-3,NA,5,NA,NA
19,socialmedia,TR-4_1,TR-4,NA,1,NA,NA
19,socialmedia,TR-4_2,TR-4,NA,2,NA,NA
19,socialmedia,TR-4_3,TR-4,NA,3,NA,NA
19,socialmedia,TR-4_4,TR-4,Please indicate the extent to which you agree or disagree with the following statements about the UF project team:,4,Strongly disagree,NA
19,socialmedia,TR-4_5,TR-4,Please indicate the extent to which you agree or disagree with the following statements about the UF project team:,5,Somewhat disagree,NA
19,socialmedia,TR-4_6,TR-4,Please indicate the extent to which you agree or disagree with the following statements about the UF project team:,6,Neither agree nor disagree,NA
19,socialmedia,TR-4_7,TR-4,Please indicate the extent to which you agree or disagree with the following statements about the UF project team:,7,Somewhat agree,NA
19,socialmedia,TR-5,TR-5,"In general, how well do you think the scientific community in general does in engaging with local communities?",10,Poorly,NA
19,socialmedia,TR-6,TR-6,How well do you think this project has done in engaging with the local community?,12,Well,NA
31,socialmedia,TR-0,TR-0,"Are you part of the stakeholder group that was invited to participate in the project kick-off meetings in November and December 2022 (If you are unsure, click ""No"". If you were invited but could not make it, click ""Yes"").",2,No,NA
28,email,TR-0,TR-0,"Are you part of the stakeholder group that was invited to participate in the project kick-off meetings in November and December 2022 (If you are unsure, click ""No"". If you were invited but could not make it, click ""Yes"").",2,No,NA
2,email,TR-0,TR-0,"Are you part of the stakeholder group that was invited to participate in the project kick-off meetings in November and December 2022 (If you are unsure, click ""No"". If you were invited but could not make it, click ""Yes"").",2,No,NA
15,email,TR-0,TR-0,"Are you part of the stakeholder group that was invited to participate in the project kick-off meetings in November and December 2022 (If you are unsure, click ""No"". If you were invited but could not make it, click ""Yes"").",2,No,NA
26,email,TR-0,TR-0,"Are you part of the stakeholder group that was invited to participate in the project kick-off meetings in November and December 2022 (If you are unsure, click ""No"". If you were invited but could not make it, click ""Yes"").",2,No,NA
22,email,TR-0,TR-0,"Are you part of the stakeholder group that was invited to participate in the project kick-off meetings in November and December 2022 (If you are unsure, click ""No"". If you were invited but could not make it, click ""Yes"").",1,Yes,NA
22,email,TR-1,TR-1,How much do you trust the UF project team to build a dashboard that meets your needs?,3,Somewhat,NA
22,email,TR-2,TR-2,To what extent do you believe that the abilities and technical expertise of the UF project team make them capable of building a dashboard that meets your needs?,3,Somewhat capable,NA
22,email,TR-3_1,TR-3,NA,1,NA,NA
22,email,TR-3_2,TR-3,NA,2,NA,NA
22,email,TR-3_3,TR-3,NA,3,NA,NA
22,email,TR-3_4,TR-3,NA,4,NA,NA
22,email,TR-3_5,TR-3,NA,5,NA,NA
22,email,TR-4_1,TR-4,NA,1,NA,NA
22,email,TR-4_2,TR-4,NA,2,NA,NA
22,email,TR-4_3,TR-4,NA,3,NA,NA
22,email,TR-4_4,TR-4,Please indicate the extent to which you agree or disagree with the following statements about the UF project team:,4,Strongly disagree,NA
22,email,TR-4_5,TR-4,Please indicate the extent to which you agree or disagree with the following statements about the UF project team:,5,Somewhat disagree,NA
22,email,TR-4_6,TR-4,Please indicate the extent to which you agree or disagree with the following statements about the UF project team:,6,Neither agree nor disagree,NA
22,email,TR-4_7,TR-4,Please indicate the extent to which you agree or disagree with the following statements about the UF project team:,7,Somewhat agree,NA
22,email,TR-5,TR-5,"In general, how well do you think the scientific community in general does in engaging with local communities?",10,Poorly,NA
22,email,TR-6,TR-6,How well do you think this project has done in engaging with the local community?,10,Poorly,NA
8,email,TR-0,TR-0,"Are you part of the stakeholder group that was invited to participate in the project kick-off meetings in November and December 2022 (If you are unsure, click ""No"". If you were invited but could not make it, click ""Yes"").",2,No,NA
24,email,TR-0,TR-0,"Are you part of the stakeholder group that was invited to participate in the project kick-off meetings in November and December 2022 (If you are unsure, click ""No"". If you were invited but could not make it, click ""Yes"").",2,No,NA
3,email,TR-0,TR-0,"Are you part of the stakeholder group that was invited to participate in the project kick-off meetings in November and December 2022 (If you are unsure, click ""No"". If you were invited but could not make it, click ""Yes"").",1,Yes,NA
3,email,TR-1,TR-1,How much do you trust the UF project team to build a dashboard that meets your needs?,3,Somewhat,NA
3,email,TR-2,TR-2,To what extent do you believe that the abilities and technical expertise of the UF project team make them capable of building a dashboard that meets your needs?,3,Somewhat capable,NA
3,email,TR-3_1,TR-3,NA,1,NA,NA
3,email,TR-3_2,TR-3,NA,2,NA,NA
3,email,TR-3_3,TR-3,NA,3,NA,NA
3,email,TR-3_4,TR-3,NA,4,NA,NA
