StartDate,EndDate,Duration (in seconds),RecordedDate,D-1_1,D-1_2,D-1_3,D-1_6,D-1_4,D-1_7,D-1_5,D-1_5_TEXT,D-2,D-3_1,D-3_2,D-3_3,D-3_4,D-3_5,D-3_6,D-3_7,D-3_8,D-3_9,D-3_9_TEXT,D-4,ND-1,ND-2_1,ND-2_2,ND-2_3,ND-2_4,ND-2_5,ND-2_6,ND-2_7,ND-2_7_TEXT,T-1_1,T-1_2,T-1_3,T-1_4,T-1_4_TEXT,T-2_1,T-2_2,T-2_3,T-2_4,T-2_7,T-2_8,T-2_8_TEXT,T-3_5,T-3_6,T-3_9,T-3_7,T-3_8,T-3_8_TEXT,T-4_1,T-4_2,T-4_3,T-4_4,T-4_5,T-4_6,T-4_6_TEXT,DE-1,DE-2,DE-3,DE-4,YD-1_6,YD-1_7,YD-1_5,YD-1_4,YD-1_3,YD-1_2,YD-1_1,YD-1_8,YD-1_8_TEXT,YD-1_DO_6,YD-1_DO_7,YD-1_DO_5,YD-1_DO_4,YD-1_DO_3,YD-1_DO_2,YD-1_DO_1,YD-1_DO_8,1_YD-2,1_YD-2_2_TEXT,1_YD-2_4_TEXT,1_YD-3_1,1_YD-3_2,1_YD-3_3,1_YD-3_4,1_YD-3_6,1_YD-3_5,1_YD-3_5_TEXT,1_YD-4_1,1_YD-4_2,1_YD-4_3,1_YD-4_4,1_YD-4_6,1_YD-4_5,1_YD-4_5_TEXT,1_YD-5,1_YD-6_1,1_YD-6_2,1_YD-6_3,1_YD-6_4,1_YD-6_5,1_YD-6_6,1_YD-6_6_TEXT,1_YD-7,2_YD-2,2_YD-2_2_TEXT,2_YD-2_4_TEXT,2_YD-3_1,2_YD-3_2,2_YD-3_3,2_YD-3_4,2_YD-3_6,2_YD-3_5,2_YD-3_5_TEXT,2_YD-4_1,2_YD-4_2,2_YD-4_3,2_YD-4_4,2_YD-4_6,2_YD-4_5,2_YD-4_5_TEXT,2_YD-5,2_YD-6_1,2_YD-6_2,2_YD-6_3,2_YD-6_4,2_YD-6_5,2_YD-6_6,2_YD-6_6_TEXT,2_YD-7,3_YD-2,3_YD-2_2_TEXT,3_YD-2_4_TEXT,3_YD-3_1,3_YD-3_2,3_YD-3_3,3_YD-3_4,3_YD-3_6,3_YD-3_5,3_YD-3_5_TEXT,3_YD-4_1,3_YD-4_2,3_YD-4_3,3_YD-4_4,3_YD-4_6,3_YD-4_5,3_YD-4_5_TEXT,3_YD-5,3_YD-6_1,3_YD-6_2,3_YD-6_3,3_YD-6_4,3_YD-6_5,3_YD-6_6,3_YD-6_6_TEXT,3_YD-7,4_YD-2,4_YD-2_2_TEXT,4_YD-2_4_TEXT,4_YD-3_1,4_YD-3_2,4_YD-3_3,4_YD-3_4,4_YD-3_6,4_YD-3_5,4_YD-3_5_TEXT,4_YD-4_1,4_YD-4_2,4_YD-4_3,4_YD-4_4,4_YD-4_6,4_YD-4_5,4_YD-4_5_TEXT,4_YD-5,4_YD-6_1,4_YD-6_2,4_YD-6_3,4_YD-6_4,4_YD-6_5,4_YD-6_6,4_YD-6_6_TEXT,4_YD-7,5_YD-2,5_YD-2_2_TEXT,5_YD-2_4_TEXT,5_YD-3_1,5_YD-3_2,5_YD-3_3,5_YD-3_4,5_YD-3_6,5_YD-3_5,5_YD-3_5_TEXT,5_YD-4_1,5_YD-4_2,5_YD-4_3,5_YD-4_4,5_YD-4_6,5_YD-4_5,5_YD-4_5_TEXT,5_YD-5,5_YD-6_1,5_YD-6_2,5_YD-6_3,5_YD-6_4,5_YD-6_5,5_YD-6_6,5_YD-6_6_TEXT,5_YD-7,6_YD-2,6_YD-2_2_TEXT,6_YD-2_4_TEXT,6_YD-3_1,6_YD-3_2,6_YD-3_3,6_YD-3_4,6_YD-3_6,6_YD-3_5,6_YD-3_5_TEXT,6_YD-4_1,6_YD-4_2,6_YD-4_3,6_YD-4_4,6_YD-4_6,6_YD-4_5,6_YD-4_5_TEXT,6_YD-5,6_YD-6_1,6_YD-6_2,6_YD-6_3,6_YD-6_4,6_YD-6_5,6_YD-6_6,6_YD-6_6_TEXT,6_YD-7,7_YD-2,7_YD-2_2_TEXT,7_YD-2_4_TEXT,7_YD-3_1,7_YD-3_2,7_YD-3_3,7_YD-3_4,7_YD-3_6,7_YD-3_5,7_YD-3_5_TEXT,7_YD-4_1,7_YD-4_2,7_YD-4_3,7_YD-4_4,7_YD-4_6,7_YD-4_5,7_YD-4_5_TEXT,7_YD-5,7_YD-6_1,7_YD-6_2,7_YD-6_3,7_YD-6_4,7_YD-6_5,7_YD-6_6,7_YD-6_6_TEXT,7_YD-7,8_YD-2,8_YD-2_2_TEXT,8_YD-2_4_TEXT,8_YD-3_1,8_YD-3_2,8_YD-3_3,8_YD-3_4,8_YD-3_6,8_YD-3_5,8_YD-3_5_TEXT,8_YD-4_1,8_YD-4_2,8_YD-4_3,8_YD-4_4,8_YD-4_6,8_YD-4_5,8_YD-4_5_TEXT,8_YD-5,8_YD-6_1,8_YD-6_2,8_YD-6_3,8_YD-6_4,8_YD-6_5,8_YD-6_6,8_YD-6_6_TEXT,8_YD-7,source,TR-0,TR-1,TR-2,TR-3_1,TR-3_2,TR-3_3,TR-3_4,TR-3_5,TR-4_1,TR-4_2,TR-4_3,TR-4_4,TR-4_5,TR-4_6,TR-4_7,TR-5,TR-6,ID
2023-05-10T23:05:35Z,2023-05-10T23:06:23Z,48,2023-05-17T23:06:25Z,"Recreational (fishing, boating, hiking, birding, etc.)","Educational (I use the Guana Estuary for educational workshops, field trips, classroom activities, etc.)",NA,NA,GTMNERR volunteer,NA,NA,NA,At least once a week,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kiosk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42
2023-04-17T12:53:13Z,2023-04-17T19:45:10Z,24716,2023-04-17T19:45:10Z,"Recreational (fishing, boating, hiking, birding, etc.)","Educational (I use the Guana Estuary for educational workshops, field trips, classroom activities, etc.)",Scientific (I collect/use data about the Guana Estuary),NA,NA,NA,NA,NA,Daily,NA,1,3,NA,4,2,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Computer,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,3,1,2,NA,NA,NA,3,2,1,4,NA,NA,NA,research coordinator,35 - 44,Female,31 – 60 minutes,NA,NA,NA,NA,"Water level information (tides, Guana lake, river)",Water quality information (including nutrients and algae),NA,NA,NA,7,4,8,3,2,1,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other (please specify),NA,get from GTM files (I am an employee),Easy/convenient to access,Data is received quickly after request,Requesting the data is quick,The format the data are delivered / accessed in is useful,NA,NA,NA,NA,NA,NA,NA,There are no disadvantages,NA,NA,2-3 times a month,Research,NA,NA,Decision making (for recreational/educational/scientific visits),Monitoring,NA,NA,Very well,Other (please specify),NA,get from GTM servers (I am an employee),Easy/convenient to access,Data is received quickly after request,NA,NA,NA,NA,NA,NA,NA,NA,The format the data are delivered / accessed in is not user-friendly,NA,NA,NA,Once every 6 months,Research,NA,NA,Decision making (for recreational/educational/scientific visits),Monitoring,NA,NA,Moderately well,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,socialmedia,Yes,Very much,Very capable,Extremely satisfied,Extremely satisfied,Extremely satisfied,Extremely satisfied,Extremely satisfied,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Poorly,Well,19
2023-05-10T18:12:24Z,2023-05-10T19:16:58Z,3873,2023-05-10T19:16:58Z,NA,NA,NA,Work-related (Not research or education),NA,NA,NA,NA,Daily,1,2,6,7,3,4,5,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Computer,Mobile phone,NA,NA,NA,4,1,2,3,NA,NA,NA,3,2,1,NA,NA,NA,4,2,1,3,NA,NA,NA,Admin Assistant,18 - 24,Female,31 – 60 minutes,"Information on fish, shellfish or other aquatic organisms",Information on terrestrial animals,Information on vegetation (salt marsh or uplands),Reserve or trail closures,"Water level information (tides, Guana lake, river)",Water quality information (including nutrients and algae),Weather information,NA,NA,5,4,6,3,8,1,7,2,Other (please specify),NA,Weather Channel App,Easy/convenient to access,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,There are no disadvantages,NA,NA,Daily,NA,Educational purposes,Work-related purposes (not research or education),NA,NA,NA,NA,Very well,Request from a GTMNERR staff member by email,NA,NA,Easy/convenient to access,NA,NA,NA,NA,NA,NA,NA,NA,Time consuming to request,NA,NA,NA,NA,Once a month,NA,Educational purposes,Work-related purposes (not research or education),NA,NA,NA,NA,Very well,Request from a GTMNERR staff member by email,NA,NA,Easy/convenient to access,NA,NA,NA,NA,NA,NA,NA,NA,Time consuming to request,NA,NA,NA,NA,Daily,NA,Educational purposes,Work-related purposes (not research or education),NA,NA,NA,NA,Very well,"Download from website (If so, what website?)",gtmnerr.org,NA,Easy/convenient to access,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,There are no disadvantages,NA,NA,Daily,NA,Educational purposes,Work-related purposes (not research or education),NA,NA,NA,NA,Extremely well,Request from a GTMNERR staff member by email,NA,NA,Easy/convenient to access,NA,NA,NA,NA,NA,NA,NA,NA,Time consuming to request,NA,NA,NA,NA,2-3 times a month,NA,Educational purposes,Work-related purposes (not research or education),NA,NA,NA,NA,Very well,Request from a GTMNERR staff member by email,NA,NA,Easy/convenient to access,NA,NA,NA,NA,NA,NA,NA,NA,Time consuming to request,NA,NA,NA,NA,2-3 times a month,NA,Educational purposes,Work-related purposes (not research or education),NA,NA,NA,NA,Very well,Request from a GTMNERR staff member by email,NA,NA,Easy/convenient to access,NA,NA,NA,NA,NA,NA,NA,NA,Time consuming to request,NA,NA,NA,NA,Daily,NA,Educational purposes,Work-related purposes (not research or education),NA,NA,NA,NA,Extremely well,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,socialmedia,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31
2023-05-11T09:50:03Z,2023-05-11T09:53:56Z,232,2023-05-18T09:53:59Z,"Recreational (fishing, boating, hiking, birding, etc.)","Educational (I use the Guana Estuary for educational workshops, field trips, classroom activities, etc.)",NA,NA,NA,NA,NA,NA,Daily,3,4,2,1,6,5,7,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Information on vegetation (salt marsh or uplands),Reserve or trail closures,NA,Water quality information (including nutrients and algae),Weather information,NA,NA,8,6,4,3,2,1,7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Request from a GTMNERR staff member by email,NA,NA,Easy/convenient to access,Data is received quickly after request,Requesting the data is quick,NA,NA,NA,NA,NA,NA,NA,NA,There are no disadvantages,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,socialmedia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28
2023-04-20T16:18:11Z,2023-04-20T16:27:01Z,529,2023-04-20T16:27:01Z,"Recreational (fishing, boating, hiking, birding, etc.)",NA,NA,NA,GTMNERR volunteer,"“Friends of GTM"" member",NA,NA,2-3 times a month,NA,NA,NA,NA,1,3,2,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Computer,Mobile phone,NA,NA,NA,1,2,NA,3,NA,NA,NA,NA,2,1,NA,NA,NA,2,NA,NA,1,NA,NA,NA,Mechanical Engineer (2005-2020); Currently seeking UF Grad Cert in Weed Science to pursue Invasive Plant Mgmt in natural areas.  Interested in the intersection of tools like this one to assist in monitoring and restoration of our natural systems.,35 - 44,Female,11 - 30 minutes,NA,NA,Information on vegetation (salt marsh or uplands),NA,NA,NA,NA,NA,NA,8,1,5,3,4,7,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other (please specify),NA,"FieldMaps, Survey123 apps using GTM Staff Access",Easy/convenient to access,NA,NA,The format the data are delivered / accessed in is useful,NA,NA,NA,NA,NA,NA,NA,There are no disadvantages,NA,NA,2-3 times a month,NA,NA,NA,NA,Monitoring,Other (please specify),Monitoring of invasive plant species sites for re-ocurrence / growth,Very well,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,email,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39
2023-04-21T15:53:04Z,2023-04-21T16:05:25Z,740,2023-04-21T16:05:26Z,"Recreational (fishing, boating, hiking, birding, etc.)",NA,Scientific (I collect/use data about the Guana Estuary),Work-related (Not research or education),GTMNERR volunteer,NA,NA,NA,Once a month,NA,5,NA,1,2,4,3,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Computer,NA,NA,NA,NA,4,3,2,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,2,1,NA,NA,NA,Park Ranger- Natural Resource Manager,55 - 64,Male,31 – 60 minutes,NA,NA,Information on vegetation (salt marsh or uplands),Reserve or trail closures,NA,Water quality information (including nutrients and algae),NA,NA,NA,5,3,6,8,7,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Request from a GTMNERR staff member by email,NA,NA,Easy/convenient to access,Data is received quickly after request,Requesting the data is quick,NA,NA,NA,NA,NA,NA,NA,NA,There are no disadvantages,NA,NA,Once every year,NA,NA,Work-related purposes (not research or education),NA,Monitoring,NA,NA,Very well,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Download from website (If so, what website?)",GTM website,NA,Easy/convenient to access,Data is received quickly after request,Requesting the data is quick,The format the data are delivered / accessed in is useful,NA,NA,NA,NA,NA,NA,NA,There are no disadvantages,NA,NA,Once every year,NA,NA,NA,NA,NA,Other (please specify),Leisure,Very well,Request from a GTMNERR staff member by email,NA,NA,Easy/convenient to access,Data is received quickly after request,Requesting the data is quick,NA,NA,NA,NA,NA,NA,NA,NA,There are no disadvantages,NA,NA,Once every year,NA,NA,Work-related purposes (not research or education),NA,Monitoring,NA,NA,Very well,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,email,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
2023-04-21T18:38:03Z,2023-04-21T18:46:48Z,524,2023-04-21T18:46:48Z,"Recreational (fishing, boating, hiking, birding, etc.)",NA,NA,Work-related (Not research or education),NA,NA,NA,NA,Once every 6 months,7,4,3,1,2,5,6,NA,NA,NA,No,Once every year,NA,Educational purposes,Work-related purposes (not research or education),Decision making (recreational/educational/scientific visits),NA,NA,NA,NA,Computer,NA,NA,NA,NA,4,3,2,1,NA,NA,NA,3,2,1,NA,NA,NA,1,4,3,2,NA,NA,NA,Land manager,35 - 44,Female,Greater than 60 minutes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,email,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
2023-04-17T18:11:06Z,2023-04-17T18:11:48Z,42,2023-04-24T18:15:35Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,email,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26
2023-04-25T18:27:50Z,2023-04-25T18:37:18Z,568,2023-04-25T18:37:19Z,"Recreational (fishing, boating, hiking, birding, etc.)",NA,Scientific (I collect/use data about the Guana Estuary),NA,NA,NA,NA,NA,Daily,4,NA,3,NA,2,1,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Computer,NA,NA,NA,NA,3,2,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,1,2,3,NA,NA,NA,NA,Researcher,18 - 24,Male,Greater than 60 minutes,"Information on fish, shellfish or other aquatic organisms",NA,Information on vegetation (salt marsh or uplands),NA,NA,NA,NA,NA,NA,5,8,6,3,2,1,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Download from website (If so, what website?)",SEACAR,NA,Easy/convenient to access,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,There are no disadvantages,NA,NA,Daily,Research,NA,NA,NA,NA,NA,NA,Very well,"Download from website (If so, what website?)",SEACAR,NA,Easy/convenient to access,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,There are no disadvantages,NA,NA,Daily,Research,NA,NA,NA,Monitoring,NA,NA,Moderately well,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,email,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
2023-04-26T15:14:37Z,2023-04-26T15:25:45Z,668,2023-04-26T15:25:46Z,"Recreational (fishing, boating, hiking, birding, etc.)",NA,NA,NA,NA,NA,NA,NA,Once every 6 months,2,NA,NA,1,3,NA,NA,NA,NA,NA,No,Once a month,NA,NA,Work-related purposes (not research or education),NA,NA,NA,NA,NA,Computer,Mobile phone,NA,NA,NA,4,3,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,3,1,NA,NA,NA,Faculty and Consultant - not science related,65 or over,Female,11 - 30 minutes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,email,Yes,Somewhat,Somewhat capable,Somewhat dissatisfied,Extremely satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Poorly,Poorly,3
