code,question
startDate,Start Date
endDate,End Date
status,Response Type
ipAddress,IP Address
progress,Progress
duration,Duration (in seconds)
finished,Finished
recordedDate,Recorded Date
_recordId,Response ID
recipientLastName,Recipient Last Name
recipientFirstName,Recipient First Name
recipientEmail,Recipient Email
externalDataReference,External Data Reference
locationLatitude,LocationLatitude - Location Latitude
locationLongitude,LocationLongitude - Location Longitude
distributionChannel,DistributionChannel - Distribution Channel
userLanguage,UserLanguage - User Language
QID3,"Informed Consent - Protocol Title: “Using collaborative open science tools to improve engagement with the ecology of the Guana River Estuary” - IRB#202202509



Please read this consent document carefully before you decide to participate in this study.



Purpose of the research study: The University of Florida and Guana Tolomato Matanzas (GTM) Research Reserve are partnering with the local community and broader science community to develop a web-based, public-facing, interactive dashboard to provide access to Guana Estuary datasets. The aim of this work is to support open science and to increase diverse engagement by making the data available interactively, using visualization tools. To this end, we are seeking feedback from those who have been involved with the Guana Estuary to help us better understand their needs.



What you will be asked to do in the study: Answer survey questions on your involvement with the Guana Estuary, your current and potential data needs, and your preferences for functionalities of the dashboard.



Time required: Approximately 15 to 30 minutes to answer the survey questions



Benefits: There are no direct benefits to you for participating in the study.



Risks: There are no risks to you for participating in the study.



Compensation: There is no compensation for participating in the study.



Confidentiality: Your identity will be kept confidential to the extent provided by law. The names of the participants will not be used in any research reports or presentations. Your name or email address will not be connected to your responses once data collection is concluded. Data related to the survey will be de-identified, i.e., codes such as p1, p2, p3 etc. will be used instead of personal information. This will happen prior to any analyses or reporting of the data. During data collection, the table linking unique IDs (p1, p2, p3 etc.) to participant's identification will be accessed only by the PI and study coordinator. The results might be presented in a paper and might be sent to research journals for possible publication or used in research conference presentations. No names or other identifying information will be used in reporting.



Voluntary participation: Your participation in this study is completely voluntary.



Right to withdraw from the study: You have the right to withdraw from the study at any time without consequence. You do not have to answer any questions you do not want to answer.



Whom to contact if you have questions about the study: Dr. Geraldine Klarenberg, School of Forest, Fisheries, and Geomatics Sciences. University of Florida (gklarenberg@ufl.edu), or Kristie Perez, School of Natural Resources and Environment. University of Florida (kristieperez@ufl.edu).



If you have any questions about your rights as a participant in this study, please contact the UF IRB office: Telephone: (352) 392-0433, e-mail address: irb2@ufl.edu



I have read the procedure outlined above. I voluntarily agree to participate in this study. 

Please click ""I agree"" if you would like to participate in the study. If you do not want to participate in the study, click “I do not agree”."
QID6_1,"D-1_1 - How are you connected to the Guana Estuary? (check all that apply) - Selected Choice - Recreational (fishing, boating, hiking, birding, etc.)"
QID6_2,"D-1_2 - How are you connected to the Guana Estuary? (check all that apply) - Selected Choice - Educational (I use the Guana Estuary for educational workshops, field trips, classroom activities, etc.)"
QID6_3,D-1_3 - How are you connected to the Guana Estuary? (check all that apply) - Selected Choice - Scientific (I collect/use data about the Guana Estuary)
QID6_6,D-1_6 - How are you connected to the Guana Estuary? (check all that apply) - Selected Choice - Work-related (Not research or education)
QID6_4,D-1_4 - How are you connected to the Guana Estuary? (check all that apply) - Selected Choice - GTMNERR volunteer
QID6_7,"D-1_7 - How are you connected to the Guana Estuary? (check all that apply) - Selected Choice - “Friends of GTM"" member"
QID6_5,D-1_5 - How are you connected to the Guana Estuary? (check all that apply) - Selected Choice - Other (please specify):
QID6_5_TEXT,D-1_5_TEXT - How are you connected to the Guana Estuary? (check all that apply) - Other (please specify): - Text
QID7,"D-2 - How often do you engage with the Guana Estuary, on average?"
QID8_1,"D-3_1 - Regardless of whether you can currently access data, what kind of information would or are you generally interested in from the area?



Pick only those that apply, and please rank your selection in order of interest: 1 = most interested in. - Weather information"
QID8_2,"D-3_2 - Regardless of whether you can currently access data, what kind of information would or are you generally interested in from the area?



Pick only those that apply, and please rank your selection in order of interest: 1 = most interested in. - Water quality information (including nutrients and algae)"
QID8_3,"D-3_3 - Regardless of whether you can currently access data, what kind of information would or are you generally interested in from the area?



Pick only those that apply, and please rank your selection in order of interest: 1 = most interested in. - Water level information (tides, Guana lake, river)"
QID8_4,"D-3_4 - Regardless of whether you can currently access data, what kind of information would or are you generally interested in from the area?



Pick only those that apply, and please rank your selection in order of interest: 1 = most interested in. - Reserve or trail closures"
QID8_5,"D-3_5 - Regardless of whether you can currently access data, what kind of information would or are you generally interested in from the area?



Pick only those that apply, and please rank your selection in order of interest: 1 = most interested in. - Information on vegetation (salt marsh or uplands)"
QID8_6,"D-3_6 - Regardless of whether you can currently access data, what kind of information would or are you generally interested in from the area?



Pick only those that apply, and please rank your selection in order of interest: 1 = most interested in. - Information on fish, shellfish or other aquatic organisms"
QID8_7,"D-3_7 - Regardless of whether you can currently access data, what kind of information would or are you generally interested in from the area?



Pick only those that apply, and please rank your selection in order of interest: 1 = most interested in. - Information on terrestrial animals"
QID8_8,"D-3_8 - Regardless of whether you can currently access data, what kind of information would or are you generally interested in from the area?



Pick only those that apply, and please rank your selection in order of interest: 1 = most interested in. - None"
QID8_9,"D-3_9 - Regardless of whether you can currently access data, what kind of information would or are you generally interested in from the area?



Pick only those that apply, and please rank your selection in order of interest: 1 = most interested in. - Other (please specify)"
QID8_9_TEXT,"D-3_9_TEXT - Regardless of whether you can currently access data, what kind of information would or are you generally interested in from the area?



Pick only those that apply, and please rank your selection in order of interest: 1 = most interested in. - Other (please specify) - Text"
QID9,"D-4 - Have you ever accessed data* about the Guana Estuary?



*by ""data"", we mean ""information, especially facts or numbers, collected to be examined and considered and used to help decision-making; or information in an electronic form that can be stored and used by a computer"" for instance spreadsheets, databases, graphs, and maps."
QID10,"ND-1 - If you had the opportunity to access data in the future, how often would you access or obtain these data?"
QID11_1,"ND-2_1 - If you had the opportunity to access data in the future, what would you use these data for? (check all that apply) - Selected Choice - Research"
QID11_2,"ND-2_2 - If you had the opportunity to access data in the future, what would you use these data for? (check all that apply) - Selected Choice - Educational purposes"
QID11_3,"ND-2_3 - If you had the opportunity to access data in the future, what would you use these data for? (check all that apply) - Selected Choice - Work-related purposes (not research or education)"
QID11_4,"ND-2_4 - If you had the opportunity to access data in the future, what would you use these data for? (check all that apply) - Selected Choice - Decision making (recreational/educational/scientific visits)"
QID11_5,"ND-2_5 - If you had the opportunity to access data in the future, what would you use these data for? (check all that apply) - Selected Choice - Monitoring"
QID11_6,"ND-2_6 - If you had the opportunity to access data in the future, what would you use these data for? (check all that apply) - Selected Choice - No specific use: curiosity"
QID11_7,"ND-2_7 - If you had the opportunity to access data in the future, what would you use these data for? (check all that apply) - Selected Choice - Other (please specify)"
QID11_7_TEXT,"ND-2_7_TEXT - If you had the opportunity to access data in the future, what would you use these data for? (check all that apply) - Other (please specify) - Text"
QID23_1,"T-1_1 - Once this dashboard has been developed, how would you prefer to access it? (check all that apply) - Selected Choice - Computer"
QID23_2,"T-1_2 - Once this dashboard has been developed, how would you prefer to access it? (check all that apply) - Selected Choice - Mobile phone"
QID23_3,"T-1_3 - Once this dashboard has been developed, how would you prefer to access it? (check all that apply) - Selected Choice - Tablet"
QID23_4,"T-1_4 - Once this dashboard has been developed, how would you prefer to access it? (check all that apply) - Selected Choice - Other (please specify)"
QID23_4_TEXT,"T-1_4_TEXT - Once this dashboard has been developed, how would you prefer to access it? (check all that apply) - Other (please specify) - Text"
QID25_1,"T-2_1 - What type of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most. - Historical data (older than 1 year)"
QID25_2,"T-2_2 - What type of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most. - Recent data (within the last year)"
QID25_3,"T-2_3 - What type of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most. - Current data (within the last month)"
QID25_4,"T-2_4 - What type of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most. - Current conditions (today)"
QID25_5,"T-2_7 - What type of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most. - Not sure"
QID25_6,"T-2_8 - What type of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most. - Other (please specify)"
QID25_8_TEXT,"T-2_8_TEXT - What type of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most. - Other (please specify) - Text"
QID49_1,"T-3_5 - What form of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most. - Non-aggregated data (meaning: ""raw"" data, no summaries)"
QID49_2,"T-3_6 - What form of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most. - Aggregated data, summarized for time periods"
QID49_3,"T-3_9 - What form of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most. - Aggregated data, summarized for locations"
QID49_4,"T-3_7 - What form of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most. - Not sure"
QID49_5,"T-3_8 - What form of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most. - Other (please specify)"
QID49_8_TEXT,"T-3_8_TEXT - What form of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most. - Other (please specify) - Text"
QID24_1,"T-4_1 - What format of data delivery would suit your needs best? 

Pick all those that apply, and please rank your selection: 1 = would suit my needs best. - Data downloads (for instance text or comma-delimited files, spreadsheets)"
