ImportId,qname,qname_main,main,field_no,q_text,q_code,option1,q_type,q_selector
startDate,StartDate,StartDate,Start Date,NA,NA,NA,NA,NA,NA
endDate,EndDate,EndDate,End Date,NA,NA,NA,NA,NA,NA
status,Status,Status,Response Type,NA,NA,NA,NA,NA,NA
ipAddress,IPAddress,IPAddress,IP Address,NA,NA,NA,NA,NA,NA
progress,Progress,Progress,Progress,NA,NA,NA,NA,NA,NA
duration,Duration (in seconds),Duration (in seconds),Duration (in seconds),NA,NA,NA,NA,NA,NA
finished,Finished,Finished,Finished,NA,NA,NA,NA,NA,NA
recordedDate,RecordedDate,RecordedDate,Recorded Date,NA,NA,NA,NA,NA,NA
,ResponseId,ResponseId,Response ID,NA,NA,NA,NA,NA,NA
recipientLastName,RecipientLastName,RecipientLastName,Recipient Last Name,NA,NA,NA,NA,NA,NA
recipientFirstName,RecipientFirstName,RecipientFirstName,Recipient First Name,NA,NA,NA,NA,NA,NA
recipientEmail,RecipientEmail,RecipientEmail,Recipient Email,NA,NA,NA,NA,NA,NA
externalDataReference,ExternalReference,ExternalReference,External Data Reference,NA,NA,NA,NA,NA,NA
locationLatitude,LocationLatitude,LocationLatitude,Location Latitude,NA,NA,NA,NA,NA,NA
locationLongitude,LocationLongitude,LocationLongitude,Location Longitude,NA,NA,NA,NA,NA,NA
distributionChannel,DistributionChannel,DistributionChannel,Distribution Channel,NA,NA,NA,NA,NA,NA
userLanguage,UserLanguage,UserLanguage,User Language,NA,NA,NA,NA,NA,NA
QID3,Informed Consent,Informed Consent,Protocol Title: “Using collaborative open science tools to improve engagement with the ecology of the Guana River Estuary”,NA,I agree,1,NA,MC,SAVR
QID3,Informed Consent,Informed Consent,Protocol Title: “Using collaborative open science tools to improve engagement with the ecology of the Guana River Estuary”,NA,I do not agree,2,NA,MC,SAVR
QID6,D-1_1,D-1,How are you connected to the Guana Estuary? (check all that apply),NA,"Recreational (fishing, boating, hiking, birding, etc.)",1,NA,MC,MAVR
QID6,D-1_2,D-1,How are you connected to the Guana Estuary? (check all that apply),NA,"Educational (I use the Guana Estuary for educational workshops, field trips, classroom activities, etc.)",2,NA,MC,MAVR
QID6,D-1_3,D-1,How are you connected to the Guana Estuary? (check all that apply),NA,Scientific (I collect/use data about the Guana Estuary),3,NA,MC,MAVR
QID6,D-1_6,D-1,How are you connected to the Guana Estuary? (check all that apply),NA,Work-related (Not research or education),6,NA,MC,MAVR
QID6,D-1_4,D-1,How are you connected to the Guana Estuary? (check all that apply),NA,GTMNERR volunteer,4,NA,MC,MAVR
QID6,D-1_7,D-1,How are you connected to the Guana Estuary? (check all that apply),NA,"“Friends of GTM"" member",7,NA,MC,MAVR
QID6,D-1_5,D-1,How are you connected to the Guana Estuary? (check all that apply),NA,Other (please specify):,5,NA,MC,MAVR
QID6,D-1_5_TEXT,D-1,How are you connected to the Guana Estuary? (check all that apply),NA,Other (please specify):,5,TEXT,MC,MAVR
QID7,D-2,D-2,"How often do you engage with the Guana Estuary, on average?",NA,Daily,1,NA,MC,SAVR
QID7,D-2,D-2,"How often do you engage with the Guana Estuary, on average?",NA,At least once a week,2,NA,MC,SAVR
QID7,D-2,D-2,"How often do you engage with the Guana Estuary, on average?",NA,2-3 times a month,3,NA,MC,SAVR
QID7,D-2,D-2,"How often do you engage with the Guana Estuary, on average?",NA,Once a month,4,NA,MC,SAVR
QID7,D-2,D-2,"How often do you engage with the Guana Estuary, on average?",NA,Once every 6 months,5,NA,MC,SAVR
QID7,D-2,D-2,"How often do you engage with the Guana Estuary, on average?",NA,Once every year,6,NA,MC,SAVR
QID7,D-2,D-2,"How often do you engage with the Guana Estuary, on average?",NA,Less than once a year,7,NA,MC,SAVR
QID8,D-3_1,D-3,"Regardless of whether you can currently access data, what kind of information would or are you generally interested in from the area?



Pick only those that apply, and please rank your selection in order of interest: 1 = most interested in.",NA,Weather information,1,NA,RO,VR
QID8,D-3_2,D-3,"Regardless of whether you can currently access data, what kind of information would or are you generally interested in from the area?



Pick only those that apply, and please rank your selection in order of interest: 1 = most interested in.",NA,Water quality information (including nutrients and algae),2,NA,RO,VR
QID8,D-3_3,D-3,"Regardless of whether you can currently access data, what kind of information would or are you generally interested in from the area?



Pick only those that apply, and please rank your selection in order of interest: 1 = most interested in.",NA,"Water level information (tides, Guana lake, river)",3,NA,RO,VR
