main,q_text,"Information on fish, shellfish or other aquatic organisms",Information on terrestrial animals,Information on vegetation (salt marsh or uplands),Other (please specify),Reserve or trail closures,"Water level information (tides, Guana lake, river)",Water quality information (including nutrients and algae),Weather information
How do you most frequently obtain or access Guana Estuary data on [Field-1]?,"Download from website (If so, what website?)",38,50,38,100,60,35,27,70
How do you most frequently obtain or access Guana Estuary data on [Field-1]?,Other (please specify),12,17,15,NA,NA,24,23,30
How do you most frequently obtain or access Guana Estuary data on [Field-1]?,Request from a GTMNERR staff member by email,50,33,46,NA,20,41,50,NA
How do you most frequently obtain or access Guana Estuary data on [Field-1]?,Pick-up paper copy in person,NA,NA,NA,NA,20,NA,NA,NA
What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply),Data is received quickly after request,19,NA,13,NA,25,17,17,11
What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply),Easy/convenient to access,33,44,43,33,25,38,35,42
What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply),Other (please specify),8,NA,NA,NA,8,NA,2,NA
What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply),Requesting the data is quick,11,11,13,33,17,14,17,16
What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply),The format the data are delivered / accessed in is useful,28,33,22,33,17,24,26,21
What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply),There are no advantages,NA,11,9,NA,8,7,2,11
What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply),Difficult/Complicated to access,11,11,7,NA,17,6,10,15
What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply),Other (please specify),21,33,20,NA,33,22,29,23
What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply),Slow to receive,5,11,7,NA,NA,11,3,15
What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply),The format the data are delivered / accessed in is not user-friendly,11,NA,13,NA,NA,11,10,8
What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply),There are no disadvantages,42,11,40,100,50,39,35,31
What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply),Time consuming to request,11,33,13,NA,NA,11,13,8
How often do/did you access or obtain Guana Estuary data on [Field-1]?,2-3 times a month,25,17,23,NA,NA,NA,8,NA
How often do/did you access or obtain Guana Estuary data on [Field-1]?,Daily,6,17,8,NA,20,12,NA,10
How often do/did you access or obtain Guana Estuary data on [Field-1]?,Less than once a year,19,NA,15,100,NA,24,19,NA
How often do/did you access or obtain Guana Estuary data on [Field-1]?,Once a month,19,33,23,NA,20,18,19,60
How often do/did you access or obtain Guana Estuary data on [Field-1]?,Once every 6 months,31,33,8,NA,40,29,23,20
How often do/did you access or obtain Guana Estuary data on [Field-1]?,Once every year,NA,NA,23,NA,20,NA,27,10
How often do/did you access or obtain Guana Estuary data on [Field-1]?,At least once a week,NA,NA,NA,NA,NA,18,4,NA
What do you typically use Guana Estuary data on [Field-1] for? (check all that apply),Decision making (for recreational/educational/scientific visits),11,18,13,NA,22,19,14,22
What do you typically use Guana Estuary data on [Field-1] for? (check all that apply),Educational purposes,22,27,22,NA,33,15,14,17
What do you typically use Guana Estuary data on [Field-1] for? (check all that apply),Monitoring,15,18,13,NA,11,7,14,NA
What do you typically use Guana Estuary data on [Field-1] for? (check all that apply),Research,37,9,26,100,11,30,33,28
What do you typically use Guana Estuary data on [Field-1] for? (check all that apply),Work-related purposes (not research or education),15,18,17,NA,11,22,19,22
What do you typically use Guana Estuary data on [Field-1] for? (check all that apply),Other (please specify),NA,9,9,NA,11,7,5,11
How well do Guana Estuary data on [Field-1] generally satisfy your need(s)?,Extremely well,6,17,NA,NA,20,6,4,10
How well do Guana Estuary data on [Field-1] generally satisfy your need(s)?,Moderately well,44,33,46,NA,20,59,35,30
How well do Guana Estuary data on [Field-1] generally satisfy your need(s)?,Slightly well,12,33,NA,NA,NA,6,15,20
How well do Guana Estuary data on [Field-1] generally satisfy your need(s)?,Very well,38,17,54,100,60,29,46,40
